"","is_prime","prime_prob","p","kind"
"299","0",0.010101,299,"pseudoprime"
"300","0",0,300,"not_prime"
"301","0",0.117057,301,"pseudoprime"
"302","0",0,302,"not_prime"
"303","0",0.00996678,303,"pseudoprime"
"304","0",0.00662252,304,"pseudoprime"
"305","0",0.049505,305,"pseudoprime"
"306","0",0,306,"not_prime"
"307","1",1,307,"prime"
"308","0",0,308,"not_prime"
"309","0",0.00977199,309,"pseudoprime"
"310","0",0.00649351,310,"pseudoprime"
"311","1",1,311,"prime"
"312","0",0,312,"not_prime"
"313","1",1,313,"prime"
"314","0",0,314,"not_prime"
"315","0",0.0223642,315,"pseudoprime"
"316","0",0.00636943,316,"pseudoprime"
"317","1",1,317,"prime"
"318","0",0,318,"not_prime"
"319","0",0.00946372,319,"pseudoprime"
"320","0",0,320,"not_prime"
"321","0",0.00940439,321,"pseudoprime"
"322","0",0.00625,322,"pseudoprime"
"323","0",0.00934579,323,"pseudoprime"
"324","0",0,324,"not_prime"
"325","0",0.145511,325,"pseudoprime"
"326","0",0,326,"not_prime"
"327","0",0.00923077,327,"pseudoprime"
"328","0",0,328,"not_prime"
"329","0",0.00917431,329,"pseudoprime"
"330","0",0,330,"not_prime"
"331","1",1,331,"prime"
"332","0",0,332,"not_prime"
"333","0",0.021148,333,"pseudoprime"
"334","0",0,334,"not_prime"
"335","0",0.00900901,335,"pseudoprime"
"336","0",0,336,"not_prime"
"337","1",1,337,"prime"
"338","0",0,338,"not_prime"
"339","0",0.00890208,339,"pseudoprime"
"340","0",0,340,"not_prime"
"341","0",0.292035,341,"pseudoprime"
"342","0",0,342,"not_prime"
"343","0",0.0146628,343,"pseudoprime"
"344","0",0.0175439,344,"pseudoprime"
"345","0",0.0437318,345,"pseudoprime"
"346","0",0,346,"not_prime"
"347","1",1,347,"prime"
"348","0",0,348,"not_prime"
"349","1",1,349,"prime"
"350","0",0,350,"not_prime"
"351","0",0.00859599,351,"pseudoprime"
"352","0",0,352,"not_prime"
"353","1",1,353,"prime"
"354","0",0,354,"not_prime"
"355","0",0.00849858,355,"pseudoprime"
"356","0",0,356,"not_prime"
"357","0",0.0422535,357,"pseudoprime"
"358","0",0,358,"not_prime"
"359","1",1,359,"prime"
"360","0",0,360,"not_prime"
"361","0",0.0473538,361,"pseudoprime"
"362","0",0,362,"not_prime"
"363","0",0.00831025,363,"pseudoprime"
"364","0",0.0220994,364,"pseudoprime"
"365","0",0.0413223,365,"pseudoprime"
"366","0",0.010989,366,"pseudoprime"
"367","1",1,367,"prime"
"368","0",0,368,"not_prime"
"369","0",0.0408719,369,"pseudoprime"
"370","0",0.0217391,370,"pseudoprime"
"371","0",0.00813008,371,"pseudoprime"
"372","0",0,372,"not_prime"
"373","1",1,373,"prime"
"374","0",0,374,"not_prime"
"375","0",0.0080429,375,"pseudoprime"
"376","0",0,376,"not_prime"
"377","0",0.04,377,"pseudoprime"
"378","0",0,378,"not_prime"
"379","1",1,379,"prime"
"380","0",0,380,"not_prime"
"381","0",0.00791557,381,"pseudoprime"
"382","0",0,382,"not_prime"
"383","1",1,383,"prime"
"384","0",0,384,"not_prime"
"385","0",0.122715,385,"pseudoprime"
"386","0",0,386,"not_prime"
"387","0",0.00779221,387,"pseudoprime"
"388","0",0.00518135,388,"pseudoprime"
"389","1",1,389,"prime"
"390","0",0,390,"not_prime"
"391","0",0.00771208,391,"pseudoprime"
"392","0",0,392,"not_prime"
"393","0",0.00767263,393,"pseudoprime"
"394","0",0,394,"not_prime"
"395","0",0.00763359,395,"pseudoprime"
"396","0",0.0101523,396,"pseudoprime"
"397","1",1,397,"prime"
"398","0",0,398,"not_prime"
"399","0",0.0176322,399,"pseudoprime"
"400","0",0,400,"not_prime"
"401","1",1,401,"prime"
"402","0",0,402,"not_prime"
"403","0",0.0872818,403,"pseudoprime"
"404","0",0,404,"not_prime"
"405","0",0.0173697,405,"pseudoprime"
"406","0",0.0049505,406,"pseudoprime"
"407","0",0.00740741,407,"pseudoprime"
"408","0",0,408,"not_prime"
"409","1",1,409,"prime"
"410","0",0,410,"not_prime"
"411","0",0.00733496,411,"pseudoprime"
"412","0",0.00487805,412,"pseudoprime"
"413","0",0.00729927,413,"pseudoprime"
"414","0",0,414,"not_prime"
"415","0",0.00726392,415,"pseudoprime"
"416","0",0,416,"not_prime"
"417","0",0.00722892,417,"pseudoprime"
"418","0",0.00480769,418,"pseudoprime"
"419","1",1,419,"prime"
"420","0",0,420,"not_prime"
"421","1",1,421,"prime"
"422","0",0,422,"not_prime"
"423","0",0.00712589,423,"pseudoprime"
"424","0",0,424,"not_prime"
"425","0",0.0732861,425,"pseudoprime"
"426","0",0.00943396,426,"pseudoprime"
"427","0",0.0823529,427,"pseudoprime"
"428","0",0,428,"not_prime"
"429","0",0.0351288,429,"pseudoprime"
"430","0",0.0046729,430,"pseudoprime"
"431","1",1,431,"prime"
"432","0",0,432,"not_prime"
"433","1",1,433,"prime"
"434","0",0,434,"not_prime"
"435","0",0.127021,435,"pseudoprime"
"436","0",0.00460829,436,"pseudoprime"
"437","0",0.00689655,437,"pseudoprime"
"438","0",0,438,"not_prime"
"439","1",1,439,"prime"
"440","0",0,440,"not_prime"
"441","0",0.00683371,441,"pseudoprime"
"442","0",0.00454545,442,"pseudoprime"
"443","1",1,443,"prime"
"444","0",0,444,"not_prime"
"445","0",0.03386,445,"pseudoprime"
"446","0",0,446,"not_prime"
"447","0",0.00674157,447,"pseudoprime"
"448","0",0.0044843,448,"pseudoprime"
"449","1",1,449,"prime"
"450","0",0,450,"not_prime"
"451","0",0.22049,451,"pseudoprime"
"452","0",0,452,"not_prime"
"453","0",0.00665188,453,"pseudoprime"
"454","0",0,454,"not_prime"
"455","0",0.0154525,455,"pseudoprime"
"456","0",0,456,"not_prime"
"457","1",1,457,"prime"
"458","0",0,458,"not_prime"
"459","0",0.00656455,459,"pseudoprime"
"460","0",0,460,"not_prime"
"461","1",1,461,"prime"
"462","0",0,462,"not_prime"
"463","1",1,463,"prime"
"464","0",0,464,"not_prime"
"465","0",0.0323974,465,"pseudoprime"
"466","0",0,466,"not_prime"
"467","1",1,467,"prime"
"468","0",0,468,"not_prime"
"469","0",0.0749465,469,"pseudoprime"
"470","0",0,470,"not_prime"
"471","0",0.00639659,471,"pseudoprime"
"472","0",0,472,"not_prime"
"473","0",0.00636943,473,"pseudoprime"
"474","0",0,474,"not_prime"
"475","0",0.0232558,475,"pseudoprime"
"476","0",0,476,"not_prime"
"477","0",0.0147368,477,"pseudoprime"
"478","0",0,478,"not_prime"
"479","1",1,479,"prime"
"480","0",0,480,"not_prime"
"481","0",0.298539,481,"pseudoprime"
"482","0",0,482,"not_prime"
"483","0",0.014553,483,"pseudoprime"
"484","0",0,484,"not_prime"
"485","0",0.0310559,485,"pseudoprime"
"486","0",0,486,"not_prime"
"487","1",1,487,"prime"
"488","0",0,488,"not_prime"
"489","0",0.00616016,489,"pseudoprime"
"490","0",0.00409836,490,"pseudoprime"
"491","1",1,491,"prime"
"492","0",0,492,"not_prime"
"493","0",0.0305499,493,"pseudoprime"
"494","0",0,494,"not_prime"
"495","0",0.0141988,495,"pseudoprime"
"496","0",0.0283401,496,"pseudoprime"
"497","0",0.00606061,497,"pseudoprime"
"498","0",0,498,"not_prime"
"499","1",1,499,"prime"
"500","0",0,500,"not_prime"
"501","0",0.00601202,501,"pseudoprime"
"502","0",0,502,"not_prime"
"503","1",1,503,"prime"
"504","0",0,504,"not_prime"
"505","0",0.0298211,505,"pseudoprime"
"506","0",0.00793651,506,"pseudoprime"
"507","0",0.00594059,507,"pseudoprime"
"508","0",0.00395257,508,"pseudoprime"
"509","1",1,509,"prime"
"510","0",0,510,"not_prime"
"511","0",0.0687623,511,"pseudoprime"
"512","0",0,512,"not_prime"
"513","0",0.00587084,513,"pseudoprime"
"514","0",0,514,"not_prime"
"515","0",0.00584795,515,"pseudoprime"
"516","0",0,516,"not_prime"
"517","0",0.00582524,517,"pseudoprime"
"518","0",0,518,"not_prime"
"519","0",0.00580271,519,"pseudoprime"
"520","0",0.003861,520,"pseudoprime"
"521","1",1,521,"prime"
"522","0",0,522,"not_prime"
"523","1",1,523,"prime"
"524","0",0,524,"not_prime"
"525","0",0.0286807,525,"pseudoprime"
"526","0",0,526,"not_prime"
"527","0",0.00571429,527,"pseudoprime"
"528","0",0,528,"not_prime"
"529","0",0.0398482,529,"pseudoprime"
"530","0",0,530,"not_prime"
"531","0",0.00567108,531,"pseudoprime"
"532","0",0.0490566,532,"pseudoprime"
"533","0",0.0282486,533,"pseudoprime"
"534","0",0,534,"not_prime"
"535","0",0.00562852,535,"pseudoprime"
"536","0",0,536,"not_prime"
"537","0",0.00560748,537,"pseudoprime"
"538","0",0,538,"not_prime"
"539","0",0.00558659,539,"pseudoprime"
"540","0",0,540,"not_prime"
"541","1",1,541,"prime"
"542","0",0,542,"not_prime"
"543","0",0.00554529,543,"pseudoprime"
"544","0",0,544,"not_prime"
"545","0",0.0276243,545,"pseudoprime"
"546","0",0,546,"not_prime"
"547","1",1,547,"prime"
"548","0",0,548,"not_prime"
"549","0",0.0127971,549,"pseudoprime"
"550","0",0,550,"not_prime"
"551","0",0.00546448,551,"pseudoprime"
"552","0",0,552,"not_prime"
"553","0",0.0635209,553,"pseudoprime"
"554","0",0,554,"not_prime"
"555","0",0.0126582,555,"pseudoprime"
"556","0",0.00361011,556,"pseudoprime"
"557","1",1,557,"prime"
"558","0",0,558,"not_prime"
"559","0",0.0628366,559,"pseudoprime"
"560","0",0,560,"not_prime"
"561","0",0.570662,561,"pseudoprime"
"562","0",0,562,"not_prime"
"563","1",1,563,"prime"
"564","0",0,564,"not_prime"
"565","0",0.026643,565,"pseudoprime"
"566","0",0,566,"not_prime"
"567","0",0.00530973,567,"pseudoprime"
"568","0",0.0106007,568,"pseudoprime"
"569","1",1,569,"prime"
"570","0",0,570,"not_prime"
"571","1",1,571,"prime"
"572","0",0,572,"not_prime"
"573","0",0.00525394,573,"pseudoprime"
"574","0",0.0034965,574,"pseudoprime"
"575","0",0.0052356,575,"pseudoprime"
"576","0",0,576,"not_prime"
"577","1",1,577,"prime"
"578","0",0,578,"not_prime"
"579","0",0.00519931,579,"pseudoprime"
"580","0",0,580,"not_prime"
"581","0",0.00518135,581,"pseudoprime"
"582","0",0,582,"not_prime"
"583","0",0.00516351,583,"pseudoprime"
"584","0",0,584,"not_prime"
"585","0",0.0531732,585,"pseudoprime"
"586","0",0,586,"not_prime"
"587","1",1,587,"prime"
"588","0",0,588,"not_prime"
"589","0",0.0596252,589,"pseudoprime"
"590","0",0,590,"not_prime"
"591","0",0.00509338,591,"pseudoprime"
"592","0",0.00338983,592,"pseudoprime"
"593","1",1,593,"prime"
"594","0",0,594,"not_prime"
"595","0",0.0387858,595,"pseudoprime"
"596","0",0,596,"not_prime"
"597","0",0.00504202,597,"pseudoprime"
"598","0",0.0033557,598,"pseudoprime"
"599","1",1,599,"prime"
"600","0",0,600,"not_prime"
"601","1",1,601,"prime"
"602","0",0,602,"not_prime"
"603","0",0.00499168,603,"pseudoprime"
"604","0",0.00332226,604,"pseudoprime"
"605","0",0.0116086,605,"pseudoprime"
"606","0",0.00662252,606,"pseudoprime"
"607","1",1,607,"prime"
"608","0",0,608,"not_prime"
"609","0",0.0247117,609,"pseudoprime"
"610","0",0.00328947,610,"pseudoprime"
"611","0",0.00492611,611,"pseudoprime"
"612","0",0,612,"not_prime"
"613","1",1,613,"prime"
"614","0",0,614,"not_prime"
"615","0",0.0114192,615,"pseudoprime"
"616","0",0.0228013,616,"pseudoprime"
"617","1",1,617,"prime"
"618","0",0,618,"not_prime"
"619","1",1,619,"prime"
"620","0",0,620,"not_prime"
"621","0",0.00484653,621,"pseudoprime"
"622","0",0,622,"not_prime"
"623","0",0.00483092,623,"pseudoprime"
"624","0",0,624,"not_prime"
"625","0",0.00481541,625,"pseudoprime"
"626","0",0,626,"not_prime"
"627","0",0.0112,627,"pseudoprime"
"628","0",0.00319489,628,"pseudoprime"
"629","0",0.0239234,629,"pseudoprime"
"630","0",0,630,"not_prime"
"631","1",1,631,"prime"
"632","0",0,632,"not_prime"
"633","0",0.00475436,633,"pseudoprime"
"634","0",0,634,"not_prime"
"635","0",0.00473934,635,"pseudoprime"
"636","0",0,636,"not_prime"
"637","0",0.111811,637,"pseudoprime"
"638","0",0.00943396,638,"pseudoprime"
"639","0",0.00470958,639,"pseudoprime"
"640","0",0,640,"not_prime"
"641","1",1,641,"prime"
"642","0",0,642,"not_prime"
"643","1",1,643,"prime"
"644","0",0,644,"not_prime"
"645","0",0.172628,645,"pseudoprime"
"646","0",0.00310559,646,"pseudoprime"
"647","1",1,647,"prime"
"648","0",0,648,"not_prime"
"649","0",0.00463679,649,"pseudoprime"
"650","0",0,650,"not_prime"
"651","0",0.0600924,651,"pseudoprime"
"652","0",0.00307692,652,"pseudoprime"
"653","1",1,653,"prime"
"654","0",0,654,"not_prime"
"655","0",0.00459418,655,"pseudoprime"
"656","0",0.00611621,656,"pseudoprime"
"657","0",0.0229008,657,"pseudoprime"
"658","0",0.00304878,658,"pseudoprime"
"659","1",1,659,"prime"
"660","0",0,660,"not_prime"
"661","1",1,661,"prime"
"662","0",0,662,"not_prime"
"663","0",0.01059,663,"pseudoprime"
"664","0",0,664,"not_prime"
"665","0",0.0226244,665,"pseudoprime"
"666","0",0,666,"not_prime"
"667","0",0.00451128,667,"pseudoprime"
"668","0",0,668,"not_prime"
"669","0",0.00449775,669,"pseudoprime"
"670","0",0.00299401,670,"pseudoprime"
"671","0",0.147982,671,"pseudoprime"
"672","0",0,672,"not_prime"
"673","1",1,673,"prime"
"674","0",0,674,"not_prime"
"675","0",0.00445765,675,"pseudoprime"
"676","0",0.00296736,676,"pseudoprime"
"677","1",1,677,"prime"
"678","0",0,678,"not_prime"
"679","0",0.0516987,679,"pseudoprime"
"680","0",0,680,"not_prime"
"681","0",0.00441826,681,"pseudoprime"
"682","0",0.00294118,682,"pseudoprime"
"683","1",1,683,"prime"
"684","0",0,684,"not_prime"
"685","0",0.0219619,685,"pseudoprime"
"686","0",0,686,"not_prime"
"687","0",0.00437956,687,"pseudoprime"
"688","0",0.00291545,688,"pseudoprime"
"689","0",0.0218341,689,"pseudoprime"
"690","0",0,690,"not_prime"
"691","1",1,691,"prime"
"692","0",0,692,"not_prime"
"693","0",0.0101302,693,"pseudoprime"
"694","0",0,694,"not_prime"
"695","0",0.004329,695,"pseudoprime"
"696","0",0,696,"not_prime"
"697","0",0.0906475,697,"pseudoprime"
"698","0",0,698,"not_prime"
"699","0",0.00430416,699,"pseudoprime"
"700","0",0.00286533,700,"pseudoprime"
"701","1",1,701,"prime"
"702","0",0,702,"not_prime"
"703","0",0.46077,703,"pseudoprime"
"704","0",0,704,"not_prime"
"705","0",0.0213371,705,"pseudoprime"
"706","0",0,706,"not_prime"
"707","0",0.00425532,707,"pseudoprime"
"708","0",0,708,"not_prime"
"709","1",1,709,"prime"
"710","0",0,710,"not_prime"
"711","0",0.00423131,711,"pseudoprime"
"712","0",0,712,"not_prime"
"713","0",0.00421941,713,"pseudoprime"
"714","0",0,714,"not_prime"
"715","0",0.0322581,715,"pseudoprime"
"716","0",0,716,"not_prime"
"717","0",0.0041958,717,"pseudoprime"
"718","0",0,718,"not_prime"
"719","1",1,719,"prime"
"720","0",0,720,"not_prime"
"721","0",0.0486787,721,"pseudoprime"
"722","0",0,722,"not_prime"
"723","0",0.00416089,723,"pseudoprime"
"724","0",0.00277008,724,"pseudoprime"
"725","0",0.0207469,725,"pseudoprime"
"726","0",0.00552486,726,"pseudoprime"
"727","1",1,727,"prime"
"728","0",0,728,"not_prime"
"729","0",0.00137552,729,"pseudoprime"
"730","0",0.010989,730,"pseudoprime"
"731","0",0.00411523,731,"pseudoprime"
"732","0",0,732,"not_prime"
"733","1",1,733,"prime"
"734","0",0,734,"not_prime"
"735","0",0.0095498,735,"pseudoprime"
"736","0",0,736,"not_prime"
"737","0",0.00408163,737,"pseudoprime"
"738","0",0,738,"not_prime"
"739","1",1,739,"prime"
"740","0",0,740,"not_prime"
"741","0",0.0202977,741,"pseudoprime"
"742","0",0.0513514,742,"pseudoprime"
"743","1",1,743,"prime"
"744","0",0,744,"not_prime"
"745","0",0.0201884,745,"pseudoprime"
"746","0",0,746,"not_prime"
"747","0",0.00402685,747,"pseudoprime"
"748","0",0,748,"not_prime"
"749","0",0.00401606,749,"pseudoprime"
"750","0",0,750,"not_prime"
"751","1",1,751,"prime"
"752","0",0,752,"not_prime"
"753","0",0.00399467,753,"pseudoprime"
"754","0",0.00265957,754,"pseudoprime"
"755","0",0.00398406,755,"pseudoprime"
"756","0",0,756,"not_prime"
"757","1",1,757,"prime"
"758","0",0,758,"not_prime"
"759","0",0.00924703,759,"pseudoprime"
"760","0",0.00263852,760,"pseudoprime"
"761","1",1,761,"prime"
"762","0",0,762,"not_prime"
"763","0",0.0459921,763,"pseudoprime"
"764","0",0,764,"not_prime"
"765","0",0.0406291,765,"pseudoprime"
"766","0",0,766,"not_prime"
"767","0",0.00392157,767,"pseudoprime"
"768","0",0,768,"not_prime"
"769","1",1,769,"prime"
"770","0",0,770,"not_prime"
"771","0",0.00390117,771,"pseudoprime"
